Time	ms	Pane1-EM102A_flow	Pane1-EM102A_power	Pane1-EM102A_retTemp	Pane1-EM102A_suppTemp	Pane1-PT102A1_pv	Pane1-PT102A2_pv
45354	0	6,023.1651003	12,491.3637805	11.4572436	5.202542	3.885	5.70276
45354.006944444445253	0	5,968.5410307	12,364.949673	11.4628562	5.2146275	3.88894	5.70698
45354.013888888890506	0	5,994.6484085	12,452.898568	11.4820718	5.2157194	3.88885	5.70683
45354.020833333335759	0	6,032.3488774	12,568.305648	11.4902747	5.2040836	3.88871	5.70343
45354.027777777781012	0	5,977.4853102	12,442.5828315	11.4823433	5.2016949	3.88475	5.70082
45354.034722222218988	0	6,014.3492627	12,473.945695	11.4585318	5.1996289	3.8872001	5.70057
45354.041666666664241	0	6,068.3227712	12,531.616681	11.4331361	5.2011847	3.88523	5.7040101
45354.048611111109494	0	6,113.3108519	12,593.8834495	11.4276397	5.2143557	3.88865	5.7002901
45354.055555555554747	0	6,061.5479246	12,489.8642465	11.4228953	5.2112135	3.88776	5.70062
45354.0625	0	5,917.2107984	12,202.5386605	11.4246526	5.2033267	3.88438	5.69937
45354.069444444445253	0	5,957.6259402	12,324.3318895	11.4479981	5.207009	3.87763	5.70098
45354.076388888890506	0	6,023.4867163	12,516.135156	11.4760167	5.2091715	3.86928	5.70264
45354.083333333335759	0	5,920.0058203	12,345.789031	11.4701994	5.1829698	3.86746	5.7050299
45354.090277777781012	0	5,994.6084253	12,431.071516	11.4553071	5.1986629	3.87593	5.6941
45354.097222222218988	0	6,112.8108447	12,604.259669	11.4362326	5.212372	3.87954	5.68475
45354.104166666664241	0	6,108.3552371	12,584.3680175	11.4389208	5.2210593	3.87918	5.6817101
45354.111111111109494	0	6,076.6206033	12,520.1914865	11.4500714	5.2305862	3.88123	5.6714101
45354.118055555554747	0	5,992.5255887	12,375.067005	11.4475323	5.2209877	3.87216	5.67105
45354.125	0	6,017.2593971	12,454.7772775	11.429293	5.1908408	3.86172	5.68722
45354.131944444445253	0	5,989.9132885	12,408.363466	11.414715	5.1613125	3.8564101	5.71062
45354.138888888890506	0	5,954.4238916	12,262.513838	11.399937	5.1823846	3.86824	5.70702
45354.145833333335759	0	5,994.6132056	12,290.5513995	11.3581197	5.1733427	3.87772	5.70452
45354.152777777781012	0	5,941.3303297	12,137.3654665	11.3338933	5.1740663	3.87442	5.71061
45354.159722222218988	0	5,930.9060696	12,073.315059	11.3218938	5.182938	3.8753301	5.7088999
45354.166666666664241	0	5,964.6928346	12,137.963857	11.3147055	5.1740253	3.87265	5.7101
45354.173611111109494	0	5,928.2432981	12,063.239605	11.322245	5.1818292	3.87205	5.7077699
45354.180555555554747	0	5,959.1066261	12,131.6015165	11.3321988	5.1902935	3.88059	5.7008099
45354.1875	0	6,003.1744166	12,224.580206	11.3346088	5.1893035	3.88023	5.70301
45354.194444444445253	0	5,907.9815451	12,003.0499895	11.3258258	5.1950381	3.88298	5.69901
45354.201388888890506	0	5,858.2831543	11,890.133064	11.3087019	5.1846735	3.88099	5.69713
45354.208333333335759	0	5,985.4550781	12,097.74698	11.2860142	5.1836251	3.88091	5.69549
45354.215277777781012	0	6,026.2773629	12,132.1919405	11.2592263	5.1817404	3.88335	5.69615
45354.222222222218988	0	6,060.331018	12,150.7502725	11.2310197	5.1844844	3.88263	5.7013
45354.229166666664241	0	6,125.3072388	12,226.074902	11.209031	5.1888124	3.88654	5.70623
45354.236111111109494	0	6,066.5290235	12,105.331522	11.2055213	5.1858938	3.89004	5.71027
45354.243055555554747	0	5,985.7087354	11,943.589332	11.2054087	5.1896435	3.89476	5.7092599
45354.25	0	6,006.6532517	11,996.2471465	11.2108378	5.1857406	3.88985	5.71273
45354.256944444445253	0	5,983.7683522	11,941.4179895	11.2166309	5.1912227	3.88798	5.7079
45354.263888888890506	0	5,979.6314115	11,955.0492905	11.2171342	5.1826516	3.88725	5.70627
45354.270833333335759	0	6,022.9357303	12,067.937528	11.2320463	5.184314	3.89033	5.70605
45354.277777777781012	0	6,043.2689673	12,116.7310095	11.2412284	5.1935553	3.89601	5.70657
45354.284722222218988	0	6,007.5223411	12,059.9138075	11.2503561	5.1948678	3.89458	5.71262
45354.291666666664241	0	5,986.1147998	11,962.343516	11.2482919	5.2163219	3.90483	5.69688
45354.298611111109494	0	6,074.5081374	12,091.784185	11.2531755	5.2455516	3.91458	5.67286
45354.305555555554747	0	6,068.6145533	12,195.994929	11.271278	5.2111092	3.91687	5.6550299
45354.3125	0	6,007.0594387	12,406.036364	11.2847552	5.0577023	3.91148	5.6521799
45354.319444444445253	0	6,026.7796535	12,666.2206765	11.3011718	4.9645706	3.91008	5.65337
45354.326388888890506	0	6,114.7985989	12,860.4124895	11.3088073	4.9678195	3.9185799	5.6447901
45354.333333333335759	0	6,156.2853883	12,958.8329915	11.3134745	4.9655955	3.9129099	5.6425801
45354.340277777781012	0	6,151.4242067	12,926.965325	11.3069154	4.9687759	3.90966	5.6340799
45354.347222222218988	0	6,133.6723586	12,902.300495	11.3017329	4.9569512	3.90211	5.6331199
45354.354166666664241	0	6,170.2780198	13,019.4306745	11.3277099	4.965214	3.8946	5.63462
45354.361111111109494	0	6,113.7859838	12,958.0858205	11.3622343	4.9641047	3.89936	5.63198
45354.368055555554747	0	6,098.0410963	13,000.737801	11.4047667	4.9701752	3.9017799	5.63053
45354.375	0	6,088.645188	13,025.546309	11.4285022	4.9757499	3.90465	5.63174
45354.381944444445253	0	6,113.997124	13,085.021432	11.4293212	4.9686553	3.90466	5.63
45354.388888888890506	0	6,104.9440697	13,070.23504	11.4598129	4.9936064	3.90535	5.6109901
45354.395833333335759	0	6,012.7686719	12,977.597544	11.5245896	5.006496	3.89935	5.60174
45354.402777777781012	0	6,084.4583448	13,187.1082215	11.5427552	4.9966273	3.88919	5.59853
45354.409722222218988	0	6,167.5279319	13,270.418351	11.479993	4.9838217	3.88964	5.5947
45354.416666666664241	0	6,124.4489549	13,133.418507	11.4541821	4.9883	3.88708	5.5994
45354.423611111109494	0	6,220.1364744	13,326.43781	11.4628062	5.0064367	3.88495	5.59678
45354.430555555554747	0	6,232.3711571	13,344.747806	11.4719708	5.0128247	3.89015	5.5855
45354.4375	0	6,190.1121555	13,313.800216	11.4872315	4.9981881	3.88433	5.5893099
45354.444444444445253	0	6,098.6662206	13,128.6201955	11.4943681	5.0021813	3.87934	5.59548
45354.451388888890506	0	6,075.8699998	13,075.1158145	11.5089112	5.0188384	3.8898	5.5893399
45354.458333333335759	0	6,161.1531394	13,295.4214505	11.5206877	5.0076524	3.89136	5.5946899
45354.465277777781012	0	6,104.6270947	13,192.929421	11.5234019	5.0042124	3.88844	5.6048099
45354.472222222218988	0	6,080.3320996	13,168.045575	11.5343212	5.0051192	3.89105	5.60648
45354.479166666664241	0	6,103.9618796	13,248.9049	11.553875	5.0072324	3.88724	5.6109901
45354.486111111109494	0	6,105.2087498	13,253.898729	11.575731	5.0233242	3.89063	5.60734
45354.493055555554747	0	6,080.2900368	13,243.491894	11.5879088	5.0173595	3.89539	5.60743
45354.5	0	6,114.457327	13,352.5130295	11.5933082	5.0068073	3.89346	5.61462
45354.506944444445253	0	6,127.2973439	13,361.9653685	11.6025751	5.0248635	3.90049	5.6119699
45354.513888888890506	0	6,100.529314	13,335.560128	11.6163111	5.0227008	3.89955	5.61026
45354.520833333335759	0	6,022.4690895	13,192.3593825	11.629569	5.0200022	3.89155	5.60496
45354.527777777781012	0	6,025.0713819	13,203.4914815	11.6391969	5.0279009	3.89203	5.59678
45354.534722222218988	0	6,158.9018775	13,510.858944	11.6356735	5.0190986	3.88475	5.60042
45354.541666666664241	0	6,161.2864183	13,499.4305765	11.6326338	5.0215755	3.88219	5.6009101
45354.548611111109494	0	6,094.6074828	13,377.8139475	11.638178	5.0164834	3.88825	5.5973001
45354.555555555554747	0	6,099.4557054	13,417.9567495	11.6526788	5.0195145	3.88682	5.60047
45354.5625	0	6,185.4964086	13,595.485286	11.6656676	5.0377192	3.88512	5.59985
45354.569444444445253	0	6,194.6829563	13,636.839468	11.6648106	5.02223	3.88222	5.5978901
45354.576388888890506	0	6,159.7429952	13,575.4497005	11.6682319	5.0157958	3.88048	5.59741
45354.583333333335759	0	6,131.7492847	13,504.485534	11.6760017	5.0341196	3.88994	5.5910299
45354.590277777781012	0	6,129.5334499	13,517.7451235	11.6799237	5.0275542	3.89027	5.5965799
45354.597222222218988	0	6,128.7869727	13,517.101479	11.6839018	5.0324162	3.88675	5.60339
45354.604166666664241	0	6,117.4406862	13,497.141286	11.6866013	5.0333362	3.89559	5.59548
45354.611111111109494	0	6,079.5009204	13,451.144149	11.6861955	5.0111523	3.89234	5.60104
45354.618055555554747	0	6,075.6398851	13,434.672189	11.6938299	5.0241122	3.89194	5.60332
45354.625	0	6,093.8178736	13,475.9764585	11.7061571	5.0361674	3.89834	5.5950001
45354.631944444445253	0	6,088.9668675	13,495.3634485	11.7119188	5.027682	3.89037	5.6042201
45354.638888888890506	0	6,077.6972486	13,484.7263075	11.7258969	5.0324252	3.89096	5.6049701
45354.645833333335759	0	6,094.554458	13,547.599553	11.7428914	5.0329261	3.89512	5.59648
45354.652777777781012	0	6,079.0001461	13,566.088419	11.7473742	5.0139391	3.88647	5.6023
45354.659722222218988	0	6,099.0843848	13,614.767012	11.7499859	5.0179504	3.88326	5.60114
45354.666666666664241	0	6,081.8107569	13,554.8601045	11.7498669	5.0253544	3.88655	5.59579
45354.673611111109494	0	5,997.3633298	13,362.6833825	11.7488153	5.0250648	3.88222	5.5973099
45354.680555555554747	0	5,943.783252	13,263.5102445	11.7601616	5.0273894	3.8722	5.59149
45354.6875	0	5,966.3004348	13,390.2236295	11.7758157	5.000791	3.86416	5.59656
45354.694444444445253	0	6,028.9029006	13,554.759635	11.7755262	4.9868205	3.86609	5.60755
45354.701388888890506	0	6,073.5529643	13,680.3736495	11.7948001	4.9986751	3.8733	5.60844
45354.708333333335759	0	6,057.4446536	13,681.6599525	11.8165646	5.0051257	3.87435	5.61182
45354.715277777781012	0	6,078.5573096	13,698.0880355	11.797122	5.0011153	3.87484	5.61182
45354.722222222218988	0	6,141.4490332	13,810.54783	11.7658448	4.9814418	3.87196	5.61525
45354.729166666664241	0	5,997.2498657	13,442.723235	11.7487768	4.9873503	3.87161	5.6159199
45354.736111111109494	0	6,047.5570388	13,528.49729	11.7363339	4.9917585	3.87807	5.61466
45354.743055555554747	0	6,098.1073438	13,624.7631865	11.7305776	4.9923609	3.87886	5.6169501
45354.75	0	6,006.7903879	13,403.118731	11.7266552	4.9931997	3.88003	5.61376
45354.756944444445253	0	6,025.4149683	13,448.608661	11.7185946	4.9844113	3.87393	5.6151799
45354.763888888890506	0	6,100.5971731	13,602.9894575	11.7164703	4.9905715	3.87603	5.611
45354.770833333335759	0	6,090.4965064	13,580.532927	11.701803	4.9793026	3.87234	5.61523
45354.777777777781012	0	6,032.0234593	13,425.688045	11.6865869	4.977225	3.87167	5.6160801
45354.784722222218988	0	6,063.1245286	13,469.24702	11.6693644	4.969179	3.87513	5.61854
45354.791666666664241	0	6,088.2903418	13,492.962528	11.6567596	4.966136	3.87234	5.6244901
45354.798611111109494	0	6,062.3417457	13,438.6645205	11.6475535	4.953193	3.87137	5.62866
45354.805555555554747	0	5,951.6261403	13,203.3872035	11.6374043	4.9444746	3.86337	5.63531
45354.8125	0	5,999.7608495	13,266.8789495	11.6319748	4.9626629	3.8707	5.6257601
45354.819444444445253	0	6,109.486362	13,496.681654	11.6170921	4.9486576	3.87205	5.62914
45354.826388888890506	0	6,106.049685	13,455.7768615	11.6054445	4.9550365	3.86817	5.63342
45354.833333333335759	0	6,012.8821557	13,235.2591585	11.5846862	4.9452374	3.87692	5.63106
45354.840277777781012	0	6,015.2023753	13,243.41986	11.5649539	4.9270061	3.87015	5.64397
45354.847222222218988	0	6,100.6909109	13,398.750663	11.563984	4.9424904	3.87052	5.64233
45354.854166666664241	0	6,032.7055079	13,253.51024	11.5667852	4.9400268	3.87142	5.64112
45354.861111111109494	0	5,972.1555686	13,095.748488	11.5552072	4.93759	3.86673	5.64108
45354.868055555554747	0	6,028.5083104	13,190.181462	11.5351534	4.9350345	3.87344	5.6361299
45354.875	0	6,038.8609716	13,214.0757125	11.5201649	4.9211114	3.86599	5.6454101
45354.881944444445253	0	6,088.6985401	13,258.0759915	11.5065931	4.9363796	3.87324	5.6383
45354.888888888890506	0	6,094.9746386	13,266.652648	11.4932817	4.9280085	3.8761	5.6400099
45354.895833333335759	0	6,062.9135573	13,187.707112	11.4766687	4.9215191	3.87201	5.6474499
45354.902777777781012	0	5,999.4385304	12,990.4995615	11.4579968	4.9291866	3.8801801	5.64451
45354.909722222218988	0	5,873.1761401	12,456.243896	11.4477742	5.0510793	3.87496	5.6532499
45354.916666666664241	0	5,957.897136	12,236.0236005	11.4378992	5.2429486	3.88162	5.6500599
45354.923611111109494	0	6,087.7954883	12,446.700338	11.4244085	5.2547805	3.88632	5.65432
